date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:52:18	6023/6023	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:52:58%20GMT	https://playiptv.club/robots.txt		(from )
07:52:18	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:52:58%20GMT	https://playiptv.club/	C:/Meus%20Sites/teste/playiptv.club/index.html	(from )
07:52:18	8568/8568	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Oct%202023%2003:50:12%20GMT	https://playiptv.club/img/favicon.png	C:/Meus%20Sites/teste/playiptv.club/img/favicon.png	(from https://playiptv.club/)
07:52:18	161409/161409	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:06%20GMT	https://playiptv.club/css/bootstrap.min.css	C:/Meus%20Sites/teste/playiptv.club/css/bootstrap.min.css	(from https://playiptv.club/)
07:52:18	68601/68601	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:06%20GMT	https://playiptv.club/css/animate.min.css	C:/Meus%20Sites/teste/playiptv.club/css/animate.min.css	(from https://playiptv.club/)
07:52:19	6951/6951	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:07%20GMT	https://playiptv.club/css/magnific-popup.css	C:/Meus%20Sites/teste/playiptv.club/css/magnific-popup.css	(from https://playiptv.club/)
07:52:19	3341/3341	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:07%20GMT	https://playiptv.club/css/owl.carousel.min.css	C:/Meus%20Sites/teste/playiptv.club/css/owl.carousel.min.css	(from https://playiptv.club/)
07:52:19	980/980	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:06%20GMT	https://playiptv.club/css/flaticon.css	C:/Meus%20Sites/teste/playiptv.club/css/flaticon.css	(from https://playiptv.club/)
07:52:19	3532/3532	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:07%20GMT	https://playiptv.club/css/odometer.css	C:/Meus%20Sites/teste/playiptv.club/css/odometer.css	(from https://playiptv.club/)
07:52:19	26053/26053	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:06%20GMT	https://playiptv.club/css/aos.css	C:/Meus%20Sites/teste/playiptv.club/css/aos.css	(from https://playiptv.club/)
07:52:20	1776/1776	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:07%20GMT	https://playiptv.club/css/slick.css	C:/Meus%20Sites/teste/playiptv.club/css/slick.css	(from https://playiptv.club/)
07:52:20	7923/7923	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:06%20GMT	https://playiptv.club/css/default.css	C:/Meus%20Sites/teste/playiptv.club/css/default.css	(from https://playiptv.club/)
07:52:20	61713/61713	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:08%20GMT	https://playiptv.club/css/style.css	C:/Meus%20Sites/teste/playiptv.club/css/style.css	(from https://playiptv.club/)
07:52:20	11616/11616	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2003:50:07%20GMT	https://playiptv.club/css/responsive.css	C:/Meus%20Sites/teste/playiptv.club/css/responsive.css	(from https://playiptv.club/)
